area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Malleshwaram,2 Bedroom,,600,1.0,0.0,90.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Srluei ,1130,2.0,2.0,56.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355,2.0,1.0,73.0
Built-up  Area,Ready To Move,HSR Layout,5 Bedroom,,4200,5.0,,245.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,1.0,24.0
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,,1700,3.0,2.0,77.0
Super built-up  Area,Ready To Move,BEML Layout 5th stage,3 BHK,,2000,3.0,2.0,85.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1152,1.0,0.0,66.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,,2400,2.0,0.0,50.0
Super built-up  Area,Ready To Move,Basapura,2 BHK,RMncy R,1200,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1425,2.0,2.0,49.88
Built-up  Area,Ready To Move,Dasarahalli,2 BHK,Prndsde,1200,2.0,2.0,42.0
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,AdingSV,527,1.0,0.0,26.0
Plot  Area,Ready To Move,Yediyur,4 Bedroom,,1140,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,DSpazTo,1088,2.0,2.0,48.0
Plot  Area,Ready To Move,Hoskote,4 Bedroom,,1200,4.0,2.0,100.0
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1750,3.0,1.0,120.0
Super built-up  Area,18-May,Varthur,2 BHK,,1000,1.0,1.0,65.0
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,,7000,4.0,3.0,550.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Skensk ,5000,4.0,3.0,400.0
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1699,3.0,3.0,97.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2.0,1.0,80.9
Super built-up  Area,20-Feb,Vijayanagar,3 BHK,Saahaat,1484,3.0,2.0,79.19
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,630,1.0,1.0,35.0
Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1051,2.0,2.0,56.74
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,52.1
Super built-up  Area,18-Dec,Rajaji Nagar,2 BHK,ProdsWe,1263,2.0,0.0,107.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1200,2.0,3.0,47.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1622,3.0,,95.0
Super built-up  Area,Ready To Move,B Channasandra,2 BHK,PrncyRe,1080,2.0,1.0,45.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Saark H,2400,4.0,3.0,200.0
Super built-up  Area,Ready To Move,Singasandra,4 BHK,,3366,4.0,,120.0
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Rie 2ri,1502,3.0,3.0,50.0
Super built-up  Area,18-Apr,Dasarahalli,2 BHK,KSliaor,1333,2.0,1.0,86.65
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040,2.0,1.0,41.59
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,40.54
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,MBrrySt,1011,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1571,3.0,3.0,53.12
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2.0,2.0,126.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1691,3.0,1.0,98.0
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1060,2.0,2.0,55.0
Plot  Area,17-Jul,Kumara Park,4 Bedroom,,3500,5.0,1.0,800.0
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,Bhide P,1200,2.0,2.0,80.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0
Plot  Area,Ready To Move,Kamakshipalya,3 Bedroom,,600,2.0,1.0,60.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1370,2.0,1.0,54.79
Built-up  Area,Ready To Move,Ramesh Nagar,2 Bedroom,,4200,1.0,2.0,160.0
Super built-up  Area,18-May,Old Madras Road,2 BHK,SheldGr,1165,2.0,1.0,52.0
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1357,2.0,1.0,123.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2.0,2.0,40.42
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Leora D,2750,5.0,2.0,275.0
Built-up  Area,17-Dec,Thanisandra,4 Bedroom,,3671,4.0,1.0,220.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1310,2.0,1.0,52.4
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1145,2.0,2.0,49.5
Plot  Area,Ready To Move,Chelekare,8 Bedroom,,600,6.0,2.0,60.0
Plot  Area,Ready To Move,Thanisandra,5 Bedroom,,750,4.0,0.0,62.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,AszarAl,1492,2.0,2.0,65.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1995,3.0,1.0,100.0
Plot  Area,Ready To Move,Varthur,4 Bedroom,SLncyaj,1320,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1261,2.0,1.0,80.0
Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,,1200,4.0,2.0,125.0
Plot  Area,Ready To Move,Yelahanka,6 Bedroom,,1200,5.0,0.0,150.0
Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,,1320,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,Veyalin,967,2.0,2.0,41.1
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1072,2.0,2.0,45.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1089,2.0,1.0,43.55
Super built-up  Area,Ready To Move,Tata Nagar,3 BHK,,1750,3.0,3.0,75.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Pao 3ow,940,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maager ,1000,2.0,1.0,38.5
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,BrontLa,3360,5.0,0.0,225.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1.0,1.0,40.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.25
Super built-up  Area,18-May,Horamavu Agara,3 BHK,,1176,2.0,1.0,37.62
Super built-up  Area,Ready To Move,Chamrajpet,3 BHK,SihtsHe,1475,2.0,2.0,120.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1195,2.0,2.0,59.0
Super built-up  Area,19-Jul,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,40.08
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,SNeur G,1215 - 1495,2.0,0.0,73.17
Super built-up  Area,Ready To Move,Jaya Mahal layout,3 BHK,Nehalri,2648,3.0,3.0,238.0
Plot  Area,Ready To Move,Hoskote,9 Bedroom,,1800,10.0,3.0,185.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,7 Bedroom,,4800,7.0,0.0,170.0
Built-up  Area,Ready To Move,Singasandra,4 BHK,,3126,4.0,,120.0
Built-up  Area,Ready To Move,Gunjur,3 BHK,NDrelau,1600,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,2666,4.0,1.0,200.0
Built-up  Area,Ready To Move,Basaveshwara Nagar,3 BHK,Suncy R,1865,3.0,3.0,145.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,Srhan P,1665,3.0,3.0,70.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sencys ,1160,2.0,2.0,45.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Rarthne,1371,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5.0,1.0,350.0
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,,940,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,,1082,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260,2.0,2.0,49.5
Super built-up  Area,18-Dec,Chennammana Kere,2 BHK,,1095,2.0,2.0,55.85
Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1500,2.0,3.0,70.0
Plot  Area,Ready To Move,OMBR Layout,5 Bedroom,,600,3.0,0.0,140.0
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,112.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Brstark,1650,3.0,2.0,110.0
Super built-up  Area,19-Dec,Anjanapura,2 BHK,DSapeto,1076,2.0,1.0,30.13
Super built-up  Area,Ready To Move,Kumarapalli,3 BHK,BMmesHo,1488,2.0,3.0,60.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,MadinJa,1367,2.0,0.0,80.0
Super built-up  Area,18-Feb,Panathur,2 BHK,,1210,2.0,1.0,77.93
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,60.9
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1111,2.0,1.0,49.43
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,WishiVa,1010,2.0,2.0,55.0
Super built-up  Area,18-Mar,Kundalahalli,3 BHK,Dieldli,1724,3.0,1.0,146.0
Super built-up  Area,22-Jun,Koramangala,2 BHK,,1130,2.0,2.0,63.0
Super built-up  Area,22-Mar,Kanakapura,1 BHK,,551,1.0,1.0,30.0
Super built-up  Area,Ready To Move,Shanthi Pura,2 BHK,ShtonDw,800,2.0,1.0,32.0
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,73.0
Super built-up  Area,19-Dec,Whitefield,3 BHK,Oreldhi,1564,3.0,1.0,103.0
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5.0,3.0,335.0
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4
Plot  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,,2200,7.0,2.0,350.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480,4.0,1.0,265.0
Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,2.0,2.0,73.5
Super built-up  Area,20-Nov,Whitefield,3 BHK,PritaDo,1778,3.0,2.0,122.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1140,2.0,3.0,55.0
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,,700,1.0,0.0,150.0
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1625,3.0,2.0,120.0
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,,1080,3.0,1.0,155.0
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,MRowsea,1782 - 2000,,,66.165
Super built-up  Area,Ready To Move,1Channasandra,14 BHK,,1250,15.0,0.0,125.0
Super built-up  Area,21-Nov,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,2.0,58.56
Built-up  Area,19-Mar,NR Colony,2 BHK,GKncysi,1068,2.0,1.0,40.05
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Klark L,4395,4.0,2.0,242.0
Plot  Area,18-Sep,Whitefield,2 Bedroom,,1200,2.0,1.0,46.13
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1065,2.0,1.0,50.92
Super built-up  Area,18-Aug,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,69.61
Super built-up  Area,20-Jun,Whitefield,3 BHK,Somns T,1306,3.0,2.0,54.65
Super built-up  Area,Ready To Move,Shettigere,1 BHK,,650,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,,8840,2.0,3.0,300.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,BrdgeNo,1290,2.0,1.0,80.0
Super built-up  Area,18-Apr,Satyasaibaba Layout,2 BHK,,1190,2.0,3.0,42.25
Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Nanjappa Layout Vidyaranyapura,5 BHK,,1200,4.0,2.0,115.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1850,2.0,2.0,88.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Sklls C,1618,3.0,3.0,82.5
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1965,4.0,2.0,132.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,760,1.0,2.0,50.0
Built-up  Area,Ready To Move,SK Garden,6 Bedroom,,1850,3.0,0.0,175.0
Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,1 BHK,Prineth,540,1.0,2.0,24.0
Built-up  Area,Ready To Move,Judicial Layout,5 Bedroom,,45Sq. Yards,6.0,3.0,400.0
Super built-up  Area,Ready To Move,"Kirloskar layout, Basaveshwarnagar",2 BHK,,1200,2.0,1.0,49.5
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1440,2.0,2.0,60.33
Plot  Area,Ready To Move,Banaswadi,6 Bedroom,,1000,4.0,2.0,150.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Sithand,1070,2.0,1.0,50.0
Plot  Area,Ready To Move,Dasarahalli,7 Bedroom,,2400,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,69.0
Built-up  Area,Ready To Move,Chickpet,2 BHK,,122Sq. Yards,2.0,0.0,48.0
Built-up  Area,Ready To Move,Kannamangala,4 Bedroom,,3000,4.0,0.0,200.0
Plot  Area,Ready To Move,Vidyaranyapura,5 Bedroom,,2640,6.0,1.0,225.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,,947,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Viisear,1150,2.0,2.0,90.0
Built-up  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,,2600,4.0,0.0,325.0
Built-up  Area,Ready To Move,Tata Nagar,3 BHK,Karchru,1504,3.0,2.0,67.0
Plot  Area,18-Aug,ITPL,3 Bedroom,,1500,3.0,1.0,61.52
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,,1718,3.0,2.0,275.0
Super built-up  Area,18-Apr,Thanisandra,3 BHK,Bhmesy ,1917,4.0,2.0,113.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1455,2.0,1.0,98.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,95.0
Super built-up  Area,20-Jun,Jakkur,3 BHK,SoineC ,1950,3.0,2.0,131.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1140,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,CoinoCu,1960,3.0,2.0,165.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,44.0
Super built-up  Area,Ready To Move,Kadugodi,4 BHK,,2100,3.0,,204.0
Built-up  Area,Ready To Move,Green View Layout,2 BHK,DSeme S,1150,2.0,1.0,42.0
Built-up  Area,Ready To Move,Varthur Road,2 BHK,VRdelit,1277,2.0,2.0,59.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1560,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,,705,1.0,1.0,65.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Puownm ,1676,3.0,3.0,52.0
Built-up  Area,Ready To Move,Konanakunte,2 Bedroom,,884,1.0,0.0,58.0
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,,1260,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2266,3.0,2.0,207.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,2.0,1.0,58.0
Built-up  Area,Ready To Move,Shingapura,3 BHK,,1255,2.0,1.0,60.0
Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,,750,1.0,1.0,105.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,2900,4.0,,240.0
Super built-up  Area,Ready To Move,M.G Road,2 BHK,SontsAp,1250,2.0,0.0,200.0
Plot  Area,18-May,Yelachenahalli,4 Bedroom,,900,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1010,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Amblipura,4 BHK,IDldsin,2950,4.0,2.0,250.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1535,3.0,2.0,72.5
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2500,4.0,1.0,260.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1205,2.0,2.0,29.0
Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1200,3.0,2.0,65.0
Super built-up  Area,18-Dec,Hennur Road,3 BHK,Shxorm ,1590,3.0,2.0,105.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,,204.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1320,2.0,1.0,100.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,85.4
Super built-up  Area,Ready To Move,Anand Nagar,3 BHK,,1080,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,2.0,48.1
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2700,4.0,1.0,270.0
Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,1200,7.0,3.0,165.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2.0,1.0,50.0
Super built-up  Area,18-Aug,Magadi Road,3 BHK,Vrenty ,1322,2.0,2.0,58.82
Super built-up  Area,17-Dec,Hebbal,4 BHK,Cehosy ,3960,5.0,3.0,386.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1976,3.0,3.0,65.21
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.5
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1160,2.0,1.0,41.75
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1200,2.0,0.0,80.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,Pethaai,1125,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Nagasandra,3 BHK,,1650,3.0,2.0,95.0
Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,,1127,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2.0,2.0,43.0
Built-up  Area,Ready To Move,Maheswari Nagar,2 BHK,AsensGa,1000,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,VKe 1 M,1220,2.0,1.0,65.0
Super built-up  Area,Ready To Move,P Krishnappa Layout,3 BHK,Apitea ,1340,3.0,3.0,77.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1175,2.0,1.0,52.0
Super built-up  Area,18-Mar,Whitefield,2 BHK,Asarqz ,1245,2.0,1.0,59.76
Super built-up  Area,Ready To Move,Sai Gardens,2 BHK,Alivae ,1339,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1188,2.0,2.0,38.0
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,,1140,2.0,1.0,60.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Rewelav,1010,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Stlomg ,1746,3.0,3.0,115.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1352,3.0,1.0,65.0
Plot  Area,Ready To Move,Sunkadakatte,4 Bedroom,,2000,5.0,0.0,80.0
Built-up  Area,Ready To Move,1st Block Jayanagar,8 Bedroom,,1700,3.0,2.0,50.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ahriaup,1525,2.0,2.0,87.0
Plot  Area,18-May,Ramagondanahalli,2 Bedroom,,845,2.0,1.0,45.82
Plot  Area,Ready To Move,Syndicate Bank Colony,4 Bedroom,,1500,4.0,3.0,240.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1910,3.0,2.0,131.0
Built-up  Area,Ready To Move,Ejipura,2 BHK,BadorSp,1200,2.0,1.0,60.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Frhts H,1305,3.0,,95.45
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Pricae ,3025,3.0,0.0,500.0
Built-up  Area,Ready To Move,Koramangala,2 BHK,,1355,2.0,2.0,95.0
Super built-up  Area,18-Mar,Varthur,2 BHK,Hirio L,1097,2.0,1.0,33.82
Plot  Area,Ready To Move,Ananth Nagar,4 Bedroom,,1200,3.0,1.0,87.0
Plot  Area,Ready To Move,T Dasarahalli,9 Bedroom,,1178,9.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MancyEl,970,2.0,1.0,35.0
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,1629,3.0,2.0,79.0
Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,,1160,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1880,4.0,2.0,110.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4.0,2.0,111.0
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Cetattu,3307 - 3464,6.0,0.0,142.0
Plot  Area,Ready To Move,Jalahalli,1 Bedroom,,600,1.0,0.0,37.0
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,2 BHK,Sariana,1256,2.0,1.0,65.0
Plot  Area,18-Aug,Attibele,2 Bedroom,,1000,2.0,1.0,42.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,Puachal,1482,2.0,1.0,87.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2.0,1.0,70.0
Super built-up  Area,17-Apr,Uttarahalli,2 BHK,DSera S,1037,2.0,1.0,36.0
Super built-up  Area,19-Dec,Hebbal,3 BHK,Raard B,1645,3.0,2.0,135.0
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Koagati,1036,2.0,1.0,59.45
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,55.0
Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,674,1.0,1.0,21.0
Built-up  Area,Ready To Move,Koramangala,2 BHK,KHage G,1370,2.0,2.0,125.0
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,1000,2.0,1.0,67.0
Super built-up  Area,19-Jun,Hebbal,2 BHK,Raard B,1320,2.0,1.0,92.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470,5.0,2.0,247.0
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,ToSky F,2800,3.0,1.0,330.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1200,2.0,1.0,34.65
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Sulesil,1585,3.0,1.0,84.0
Built-up  Area,Ready To Move,Banaswadi,2 BHK,Shidei ,1105,2.0,2.0,57.0
Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1161,2.0,1.0,55.15
Super built-up  Area,Ready To Move,Panathur,2 BHK,,1210,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Toindls,6000,6.0,,700.0
Super built-up  Area,18-Jul,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,66.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1698,3.0,2.0,125.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1125,2.0,1.0,29.25
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,75.0
Super built-up  Area,18-Aug,Hebbal,3 BHK,Mahosya,1920,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Brookefield,4 BHK,Gotaten,2400,3.0,3.0,140.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Dimes E,1332,2.0,1.0,79.0
Super built-up  Area,19-Mar,Thubarahalli,3 BHK,,1242,3.0,1.0,51.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,1160,2.0,1.0,46.39
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Vaoodar,1365,2.0,2.0,73.0
Plot  Area,18-May,Sarjapur,4 Bedroom,Prldsum,4201,4.0,3.0,435.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1075,2.0,1.0,42.0
Built-up  Area,Ready To Move,JP Nagar,7 Bedroom,,2700,4.0,1.0,160.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,DwntsAp,1100,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,,2650,4.0,0.0,175.0
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2.0,2.0,52.0
Built-up  Area,18-Dec,Electronic City,3 BHK,,1320,2.0,1.0,38.12
Super built-up  Area,Ready To Move,Arekere,2 BHK,Nihtsss,1240,2.0,2.0,60.0
Super built-up  Area,19-Aug,Hormavu,2 BHK,,1130,2.0,1.0,42.3
Super built-up  Area,18-Apr,Whitefield,3 BHK,Asarqz ,1496,2.0,1.0,71.81
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,,1200,2.0,2.0,78.0
